Date,"Mt. Gox
BTC/USD
Weighted
Avg","Mt. Gox
BTC/USD
Volume (BTCs)","Month
Name","Mt. Gox
BTC/USD
Monthly
Avg","Through
Block","Mt. Gox
BTC/USD
Open","Mt. Gox
BTC/USD
High","Mt. Gox
BTC/USD
Low","Mt. Gox
BTC/USD
Close","Mt. Gox
BTC/USD
Volume (USDs)","Output
Volume (BTCs)
","Mt. Gox
BTC/EUR
Close","EUR/USD
Forex","EUR
Premium",Gold,"BTC/
Gold",Silver,"BTC/
Silver",Crude (WTI),"BTC/
Oil","BitcoinTalk
New Posts","BitcoinTalk
Page Views"
7/29/2010,$0.07,"8,058.49",,,,0.05890,0.06990,0.05710,0.06990,$528.32,"67,470",n/a,1.3001,n/a,"$1,168.40",0.0001,$17.60,0.0040,$78.36,0.0009,260,#N/A
7/30/2010,$0.07,"3,020.85",,,,0.06990,0.06980,0.05820,0.06270,$198.53,"38,727",n/a,1.3064,n/a,"$1,181.70",0.0001,$17.66,0.0040,$78.95,0.0009,198,#N/A
7/31/2010,$0.06,"4,022.25",Jul. 2010,n/a,71436,0.06270,0.06889,0.05600,0.06785,$243.90,"26,849",n/a,1.3043,n/a,"$1,181.70",0.0001,$17.66,0.0034,$78.95,0.0008,118,#N/A
8/1/2010,$0.06,"2,601.00",,,,0.06785,0.06500,0.06000,0.06110,$162.65,"275,826",n/a,1.3051,n/a,"$1,181.70",0.0001,$17.66,0.0034,$78.95,0.0008,80,#N/A
8/2/2010,$0.06,"3,599.00",,,,0.06110,0.06330,0.06000,0.06000,$221.20,"80,756",n/a,1.3052,n/a,"$1,183.40",0.0001,$18.11,0.0033,$81.34,0.0007,164,#N/A
8/3/2010,$0.06,"9,821.46",,,,0.06000,0.06500,0.05900,0.06000,$606.05,"35,410",n/a,1.3118,n/a,"$1,185.20",0.0001,$18.42,0.0033,$82.55,0.0007,256,#N/A
8/4/2010,$0.06,"3,494.00",,,,0.06000,0.06231,0.05700,0.05700,$210.77,"43,476",n/a,1.3216,n/a,"$1,193.70",0.0001,$18.50,0.0032,$82.47,0.0007,221,#N/A
8/5/2010,$0.06,"5,034.07",,,,0.05700,0.06100,0.05800,0.06100,$303.61,"63,196",n/a,1.3188,n/a,"$1,197.20",0.0001,$18.35,0.0033,$82.01,0.0007,169,#N/A
8/6/2010,$0.06,"1,395.00",,,,0.06100,0.06240,0.06070,0.06230,$85.91,"27,828",n/a,1.3173,n/a,"$1,203.40",0.0000,$18.30,0.0033,$80.70,0.0007,263,#N/A
8/7/2010,$0.06,"2,619.00",,,,0.06230,0.06220,0.05900,0.05900,$157.34,"34,545",n/a,1.3232,n/a,"$1,203.40",0.0000,$18.30,0.0033,$80.70,0.0007,156,#N/A
8/8/2010,$0.06,"2,201.00",,,,0.05900,0.06100,0.05900,0.06090,$132.60,"24,398",n/a,1.3280,n/a,"$1,203.40",0.0000,$18.30,0.0033,$80.70,0.0007,126,#N/A
8/9/2010,$0.07,"13,631.09",,,,0.06090,0.07350,0.05930,0.07100,$886.93,"42,164",n/a,1.3281,n/a,"$1,200.70",0.0001,$18.48,0.0038,$81.48,0.0009,143,#N/A
8/10/2010,$0.07,"1,310.39",,,,0.07100,0.07090,0.06651,0.07000,$88.87,"79,568",n/a,1.3255,n/a,"$1,196.20",0.0001,$18.09,0.0039,$80.25,0.0009,185,#N/A
8/11/2010,$0.07,"14,061.18",,,,0.07000,0.07541,0.06000,0.06700,"$1,015.64","64,335",n/a,1.3146,n/a,"$1,197.50",0.0001,$18.12,0.0039,$78.02,0.0009,182,#N/A
8/12/2010,$0.07,"2,062.31",,,,0.06700,0.07000,0.06141,0.07000,$134.49,"37,502",n/a,1.2981,n/a,"$1,214.80",0.0001,$17.92,0.0039,$75.74,0.0009,129,#N/A
8/13/2010,$0.07,"3,591.77",,,,0.07000,0.06800,0.06450,0.06450,$233.80,"45,207",n/a,1.2852,n/a,"$1,214.90",0.0001,$18.06,0.0039,$75.39,0.0009,197,#N/A
8/14/2010,$0.07,"4,404.20",,,,0.06450,0.06950,0.06450,0.06700,$295.31,"32,041",n/a,1.2812,n/a,"$1,214.90",0.0001,$18.06,0.0039,$75.39,0.0009,162,#N/A
8/15/2010,$0.07,"4,462.87",,,,0.06700,0.06700,0.06500,0.06529,$294.95,"32,624",n/a,1.2754,n/a,"$1,214.90",0.0001,$18.06,0.0039,$75.39,0.0009,294,#N/A
8/16/2010,$0.06,"10,731.47",,,,0.06529,0.06790,0.06200,0.06550,$696.80,"41,918",n/a,1.2755,n/a,"$1,224.50",0.0000,$18.20,0.0033,$75.24,0.0008,253,#N/A
8/17/2010,$0.07,"13,185.74",,,,0.06550,0.07690,0.06243,0.07000,$915.00,"72,855",n/a,1.2818,n/a,"$1,226.60",0.0001,$18.54,0.0038,$75.77,0.0009,148,#N/A
8/18/2010,$0.07,"2,953.98",,,,0.07000,0.07330,0.06700,0.06800,$203.83,"52,829",n/a,1.2873,n/a,"$1,229.70",0.0001,$18.36,0.0038,$75.42,0.0009,179,#N/A
8/19/2010,$0.07,741.12,,,,0.06800,0.06790,0.06670,0.06670,$50.04,"32,027",n/a,1.2867,n/a,"$1,233.80",0.0001,$18.45,0.0038,$74.43,0.0009,152,#N/A
8/20/2010,$0.07,"4,199.75",,,,0.06670,0.06670,0.06500,0.06550,$276.41,"36,647",n/a,1.2828,n/a,"$1,227.20",0.0001,$18.14,0.0039,$73.46,0.0010,200,#N/A
8/21/2010,$0.07,"10,443.86",,,,0.06550,0.06690,0.06440,0.06640,$688.51,"33,790",n/a,1.2735,n/a,"$1,227.20",0.0001,$18.14,0.0039,$73.46,0.0010,100,#N/A
8/22/2010,$0.06,"18,648.97",,,,0.06640,0.06640,0.06120,0.06600,"$1,183.64","45,810",n/a,1.2711,n/a,"$1,227.20",0.0000,$18.14,0.0033,$73.46,0.0008,96,#N/A
8/23/2010,$0.07,"4,297.49",,,,0.06600,0.06689,0.06300,0.06491,$281.88,"29,274",n/a,1.2710,n/a,"$1,226.90",0.0001,$17.94,0.0039,$73.10,0.0010,203,#N/A
8/24/2010,$0.07,"6,711.76",,,,0.06491,0.06650,0.06491,0.06500,$444.66,"28,624",n/a,1.2692,n/a,"$1,231.80",0.0001,$17.88,0.0039,$71.63,0.0010,148,#N/A
8/25/2010,$0.07,"4,228.88",,,,0.06500,0.06650,0.06410,0.06480,$278.86,"24,234",n/a,1.2647,n/a,"$1,239.50",0.0001,$18.63,0.0038,$72.52,0.0010,144,#N/A
8/26/2010,$0.07,"3,870.01",,,,0.06480,0.06580,0.06400,0.06400,$251.56,"30,534",n/a,1.2654,n/a,"$1,235.40",0.0001,$19.11,0.0037,$73.36,0.0010,122,#N/A
8/27/2010,$0.06,"9,009.97",,,,0.06400,0.06500,0.06300,0.06500,$583.71,"21,534",n/a,1.2710,n/a,"$1,236.00",0.0000,$19.03,0.0032,$75.17,0.0008,124,#N/A
8/28/2010,$0.06,"6,174.01",,,,0.06500,0.06500,0.06410,0.06410,$399.45,"39,471",n/a,1.2727,n/a,"$1,236.00",0.0000,$19.03,0.0032,$75.17,0.0008,86,#N/A
8/29/2010,$0.06,"3,173.40",,,,0.06410,0.06480,0.06400,0.06400,$204.88,"18,946",n/a,1.2763,n/a,"$1,236.00",0.0000,$19.03,0.0032,$75.17,0.0008,64,#N/A
8/30/2010,$0.06,"34,193.14",,,,0.06400,0.06900,0.03211,0.06497,"$2,135.00","20,544",n/a,1.2763,n/a,"$1,238.00",0.0000,$19.03,0.0032,$74.70,0.0008,106,#N/A
8/31/2010,$0.06,"14,886.91",Aug. 2010,$0.07,"77,452",0.06497,0.06490,0.06000,0.06000,$933.23,"50,604",n/a,1.2702,n/a,"$1,249.00",0.0000,$18.87,0.0032,$71.92,0.0008,86,#N/A
9/1/2010,$0.06,"7,164.72",,,,0.06000,0.06290,0.05961,0.06290,$436.73,"25,273",n/a,1.2682,n/a,"$1,246.80",0.0000,$19.47,0.0031,$73.91,0.0008,91,#N/A
9/2/2010,$0.06,"8,150.73",,,,0.06290,0.06340,0.06010,0.06340,$498.98,"37,692",n/a,1.2780,n/a,"$1,252.10",0.0000,$19.45,0.0031,$75.02,0.0008,66,#N/A
9/3/2010,$0.06,892.00,,,,0.06340,0.06300,0.06085,0.06085,$54.61,"45,194",n/a,1.2814,n/a,"$1,249.80",0.0000,$19.66,0.0031,$74.60,0.0008,39,#N/A
9/4/2010,$0.06,"3,301.00",,,,0.06085,0.06238,0.06120,0.06238,$202.27,"45,032",n/a,1.2853,n/a,"$1,249.80",0.0000,$19.66,0.0031,$74.60,0.0008,32,#N/A
9/5/2010,$0.06,"8,459.24",,,,0.06238,0.06400,0.06050,0.06160,$527.97,"128,716",n/a,1.2896,n/a,"$1,249.80",0.0000,$19.66,0.0031,$74.60,0.0008,29,#N/A
9/6/2010,$0.06,910.00,,,,0.06160,0.06270,0.06160,0.06160,$56.13,"94,878",n/a,1.2895,n/a,"$1,249.80",0.0000,$19.86,0.0030,$74.60,0.0008,77,#N/A
9/7/2010,$0.06,"3,457.19",,,,0.06160,0.06201,0.06030,0.06100,$212.35,"34,840",n/a,1.2885,n/a,"$1,257.90",0.0000,$19.65,0.0031,$74.09,0.0008,59,#N/A
9/8/2010,$0.06,"2,345.41",,,,0.06100,0.06200,0.06099,0.06200,$143.36,"24,540",n/a,1.2748,n/a,"$1,257.90",0.0000,$20.02,0.0030,$74.09,0.0008,60,#N/A
9/9/2010,$0.06,"1,733.50",,,,0.06200,0.06240,0.06109,0.06111,$107.68,"40,414",n/a,1.2715,n/a,"$1,249.40",0.0000,$19.97,0.0030,$74.25,0.0008,81,#N/A
9/10/2010,$0.06,"4,939.79",,,,0.06111,0.06180,0.06014,0.06180,$301.80,"25,097",n/a,1.2710,n/a,"$1,245.00",0.0000,$19.90,0.0030,$76.45,0.0008,52,#N/A
9/11/2010,$0.06,"7,749.14",,,,0.06180,0.06500,0.06190,0.06366,$491.19,"17,622",n/a,1.2712,n/a,"$1,245.00",0.0000,$19.90,0.0030,$76.45,0.0008,36,#N/A
9/12/2010,$0.06,793.88,,,,0.06366,0.06210,0.06150,0.06150,$48.99,"26,765",n/a,1.2681,n/a,"$1,245.00",0.0000,$19.90,0.0030,$76.45,0.0008,80,#N/A
9/13/2010,$0.06,"10,076.34",,,,0.06150,0.06400,0.06070,0.06219,$632.20,"114,883",n/a,1.2685,n/a,"$1,245.60",0.0000,$19.93,0.0030,$77.19,0.0008,134,#N/A
9/14/2010,$0.06,"14,014.81",,,,0.06219,0.17500,0.06100,0.06199,$876.76,"46,151",n/a,1.2834,n/a,"$1,270.20",0.0000,$20.31,0.0030,$76.80,0.0008,169,#N/A
9/15/2010,$0.06,"3,651.85",,,,0.06199,0.06250,0.06040,0.06040,$223.27,"46,988",n/a,1.2921,n/a,"$1,267.10",0.0000,$20.44,0.0029,$76.02,0.0008,112,#N/A
9/16/2010,$0.06,730.00,,,,0.06040,0.06190,0.06180,0.06190,$45.17,"39,173",n/a,1.2992,n/a,"$1,272.20",0.0000,$20.76,0.0029,$74.57,0.0008,108,#N/A
9/17/2010,$0.06,"7,262.00",,,,0.06190,0.06090,0.05900,0.05900,$438.94,"44,589",n/a,1.3058,n/a,"$1,275.90",0.0000,$20.85,0.0029,$73.66,0.0008,59,#N/A
9/18/2010,$0.06,"7,092.61",,,,0.05900,0.06100,0.05761,0.06100,$427.76,"81,783",n/a,1.3085,n/a,"$1,275.90",0.0000,$20.85,0.0029,$73.66,0.0008,62,#N/A
9/19/2010,$0.06,"12,852.17",,,,0.06100,0.06270,0.06000,0.06270,$797.36,"63,683",n/a,1.3051,n/a,"$1,275.90",0.0000,$20.85,0.0029,$73.66,0.0008,76,#N/A
9/20/2010,$0.06,"14,307.94",,,,0.06270,0.06340,0.06200,0.06210,$891.19,"71,345",n/a,1.3051,n/a,"$1,279.30",0.0000,$20.91,0.0029,$74.86,0.0008,274,#N/A
9/21/2010,$0.06,"5,735.95",,,,0.06210,0.06330,0.06230,0.06265,$359.82,"39,944",n/a,1.3077,n/a,"$1,272.70",0.0000,$20.76,0.0029,$73.52,0.0008,157,#N/A
9/22/2010,$0.06,"11,560.40",,,,0.06265,0.06240,0.06147,0.06220,$717.33,"51,528",n/a,1.3138,n/a,"$1,290.50",0.0000,$21.08,0.0028,$74.71,0.0008,78,#N/A
9/23/2010,$0.06,"15,505.33",,,,0.06220,0.06300,0.06150,0.06231,$970.09,"123,082",n/a,1.3359,n/a,"$1,294.60",0.0000,$21.08,0.0028,$75.18,0.0008,156,#N/A
9/24/2010,$0.06,684.38,,,,0.06231,0.06240,0.06209,0.06220,$42.66,"48,867",n/a,1.3351,n/a,"$1,296.30",0.0000,$21.35,0.0028,$76.49,0.0008,98,#N/A
9/25/2010,$0.06,"2,152.50",,,,0.06220,0.06240,0.06170,0.06202,$133.05,"32,462",n/a,1.3420,n/a,"$1,296.30",0.0000,$21.35,0.0028,$76.49,0.0008,77,#N/A
9/26/2010,$0.06,"12,058.13",,,,0.06202,0.06228,0.06186,0.06200,$748.20,"30,732",n/a,1.3492,n/a,"$1,296.30",0.0000,$21.35,0.0028,$76.49,0.0008,105,#N/A
9/27/2010,$0.06,"10,752.25",,,,0.06200,0.06228,0.06190,0.06220,$668.53,"39,222",n/a,1.3491,n/a,"$1,296.90",0.0000,$21.54,0.0028,$76.52,0.0008,172,#N/A
9/28/2010,$0.06,"7,086.15",,,,0.06220,0.06271,0.06170,0.06190,$439.05,"55,063",n/a,1.3469,n/a,"$1,296.90",0.0000,$21.17,0.0028,$76.52,0.0008,101,#N/A
9/29/2010,$0.06,"23,475.64",,,,0.06190,0.06200,0.06150,0.06191,"$1,450.79","152,303",n/a,1.3499,n/a,"$1,308.50",0.0000,$21.87,0.0027,$77.86,0.0008,185,#N/A
9/30/2010,$0.06,"7,917.03",Sep. 2010,$0.06,"77,452",0.06191,0.06190,0.06155,0.06190,$488.15,"36,006",n/a,1.3611,n/a,"$1,307.80",0.0000,$22.07,0.0027,$79.97,0.0008,153,#N/A
10/1/2010,$0.06,"1,717.45",,,,0.06190,0.06200,0.06189,0.06197,$106.46,"74,309",n/a,1.3624,n/a,"$1,316.10",0.0000,$21.95,0.0027,$81.58,0.0007,137,#N/A
10/2/2010,$0.06,"13,059.74",,,,0.06197,0.06191,0.06125,0.06140,$802.52,"46,316",n/a,1.3726,n/a,"$1,316.10",0.0000,$21.95,0.0027,$81.58,0.0007,130,#N/A
10/3/2010,$0.06,"7,172.63",,,,0.06140,0.06140,0.06100,0.06111,$439.88,"403,512",n/a,1.3791,n/a,"$1,316.10",0.0000,$21.95,0.0027,$81.58,0.0007,117,#N/A
10/4/2010,$0.06,"33,995.37",,,,0.06111,0.06200,0.06081,0.06130,"$2,079.89","539,563",n/a,1.3792,n/a,"$1,315.40",0.0000,$22.03,0.0027,$81.47,0.0007,231,#N/A
10/5/2010,$0.06,"27,526.61",,,,0.06130,0.06301,0.06090,0.06140,"$1,699.20","189,281",n/a,1.3708,n/a,"$1,338.90",0.0000,$22.24,0.0027,$82.82,0.0007,184,#N/A
10/6/2010,$0.06,"33,433.30",,,,0.06140,0.06350,0.06120,0.06281,"$2,091.28","99,404",n/a,1.3782,n/a,"$1,346.40",0.0000,$22.92,0.0026,$83.23,0.0007,165,#N/A
10/7/2010,$0.06,"43,692.98",,,,0.06281,0.06700,0.06280,0.06700,"$2,812.79","175,824",n/a,1.3879,n/a,"$1,333.90",0.0000,$23.38,0.0026,$81.67,0.0007,201,#N/A
10/8/2010,$0.08,"139,287.29",,,,0.06700,0.08800,0.01000,0.08685,"$10,784.23","181,045",n/a,1.3942,n/a,"$1,344.20",0.0001,$22.37,0.0036,$82.66,0.0010,182,#N/A
10/9/2010,$0.09,"187,846.95",,,,0.08685,0.12001,0.06800,0.09380,"$16,104.87","164,092",n/a,1.3918,n/a,"$1,344.20",0.0001,$22.37,0.0040,$82.66,0.0011,221,#N/A
10/10/2010,$0.10,"50,684.19",,,,0.09380,0.13010,0.07999,0.09650,"$4,889.35","135,145",n/a,1.3938,n/a,"$1,344.20",0.0001,$22.37,0.0045,$82.66,0.0012,128,#N/A
10/11/2010,$0.10,"14,092.91",,,,0.09650,0.10300,0.09100,0.09500,"$1,395.23","71,405",n/a,1.3942,n/a,"$1,353.30",0.0001,$23.31,0.0043,$82.21,0.0012,155,#N/A
10/12/2010,$0.09,"25,660.75",,,,0.09500,0.09900,0.08200,0.09490,"$2,396.82","108,997",n/a,1.3924,n/a,"$1,345.70",0.0001,$23.03,0.0039,$81.67,0.0011,140,#N/A
10/13/2010,$0.10,"47,557.27",,,,0.09490,0.10500,0.09200,0.10500,"$4,558.52","95,713",n/a,1.3849,n/a,"$1,369.50",0.0001,$23.53,0.0042,$83.01,0.0012,133,#N/A
10/14/2010,$0.10,"37,217.28",,,,0.10500,0.10450,0.06500,0.10200,"$3,701.65","157,733",n/a,1.3964,n/a,"$1,376.70",0.0001,$24.49,0.0041,$82.69,0.0012,111,#N/A
10/15/2010,$0.10,"24,643.33",,,,0.10200,0.11900,0.09200,0.10500,"$2,554.91","145,488",n/a,1.4075,n/a,"$1,371.10",0.0001,$24.42,0.0041,$81.25,0.0012,151,#N/A
10/16/2010,$0.10,"6,284.71",,,,0.10500,0.10300,0.10000,0.10100,$633.63,"228,684",n/a,1.4042,n/a,"$1,371.10",0.0001,$24.42,0.0041,$81.25,0.0012,99,#N/A
10/17/2010,$0.10,"18,222.19",,,,0.10100,0.10450,0.10001,0.10200,"$1,857.80","165,836",n/a,1.3977,n/a,"$1,371.10",0.0001,$24.42,0.0041,$81.25,0.0012,166,#N/A
10/18/2010,$0.10,"25,665.09",,,,0.10200,0.10300,0.09700,0.10240,"$2,591.64","204,295",n/a,1.3979,n/a,"$1,371.20",0.0001,$24.02,0.0042,$83.08,0.0012,143,#N/A
10/19/2010,$0.10,"6,235.10",,,,0.10240,0.10190,0.09700,0.09700,$623.34,"269,644",n/a,1.3925,n/a,"$1,335.10",0.0001,$24.26,0.0041,$79.49,0.0013,110,#N/A
10/20/2010,$0.10,"31,855.00",,,,0.09700,0.10300,0.09400,0.09900,"$3,221.08","243,234",n/a,1.3847,n/a,"$1,343.30",0.0001,$23.71,0.0042,$81.77,0.0012,136,#N/A
10/21/2010,$0.10,"44,867.00",,,,0.09900,0.10900,0.09700,0.10700,"$4,616.85","200,194",n/a,1.3873,n/a,"$1,324.70",0.0001,$23.90,0.0042,$80.56,0.0012,149,#N/A
10/22/2010,$0.11,"34,603.91",,,,0.10700,0.10901,0.10150,0.10250,"$3,665.43","138,906",n/a,1.3970,n/a,"$1,324.40",0.0001,$23.05,0.0048,$81.69,0.0013,154,#N/A
10/23/2010,$0.11,"4,423.47",,,,0.10250,0.10900,0.10449,0.10550,$481.52,"49,203",n/a,1.3928,n/a,"$1,324.40",0.0001,$23.05,0.0048,$81.69,0.0013,137,#N/A
10/24/2010,$0.11,"13,800.23",,,,0.10550,0.19000,0.10800,0.11501,"$1,560.61","88,862",n/a,1.3956,n/a,"$1,324.40",0.0001,$23.05,0.0048,$81.69,0.0013,143,#N/A
10/25/2010,$0.15,"30,299.64",,,,0.11501,0.19000,0.09009,0.13200,"$4,450.00","154,213",n/a,1.3958,n/a,"$1,338.30",0.0001,$23.71,0.0063,$82.52,0.0018,140,#N/A
10/26/2010,$0.16,"19,219.13",,,,0.13200,0.18000,0.13300,0.15030,"$2,995.09","194,450",n/a,1.4015,n/a,"$1,338.00",0.0001,$23.48,0.0068,$82.55,0.0019,203,#N/A
10/27/2010,$0.18,"65,605.87",,,,0.15030,0.19000,0.15100,0.18770,"$11,594.02","231,666",n/a,1.3907,n/a,"$1,322.20",0.0001,$23.77,0.0076,$81.94,0.0022,185,#N/A
10/28/2010,$0.19,"21,525.04",,,,0.18770,0.19100,0.17310,0.17310,"$4,009.67","154,286",n/a,1.3795,n/a,"$1,342.50",0.0001,$23.73,0.0080,$82.18,0.0023,147,#N/A
10/29/2010,$0.19,"28,686.85",,,,0.17310,0.19000,0.17300,0.19000,"$5,380.49","136,452",n/a,1.3874,n/a,"$1,357.60",0.0001,$23.96,0.0079,$81.43,0.0023,174,#N/A
10/30/2010,$0.19,"26,708.94",,,,0.19000,0.19900,0.18750,0.19890,"$5,112.03","93,681",n/a,1.3893,n/a,"$1,357.60",0.0001,$23.96,0.0079,$81.43,0.0023,107,#N/A
10/31/2010,$0.19,"40,337.76",Oct. 2010,$0.11,"88,892",0.19890,0.19890,0.17100,0.19250,"$7,829.46","61,979",n/a,1.3947,n/a,"$1,357.60",0.0001,$23.96,0.0079,$81.43,0.0023,69,#N/A
11/1/2010,$0.19,"21,258.61",,,,0.19250,0.19550,0.17200,0.19550,"$4,049.75","61,627",n/a,1.3949,n/a,"$1,350.60",0.0001,$24.91,0.0076,$82.95,0.0023,183,#N/A
11/2/2010,$0.19,"5,853.39",,,,0.19550,0.19500,0.19050,0.19380,"$1,121.34","65,171",n/a,1.3945,n/a,"$1,356.90",0.0001,$24.73,0.0077,$83.90,0.0023,152,#N/A
11/3/2010,$0.19,"61,472.63",,,,0.19380,0.27500,0.12500,0.19310,"$11,769.61","65,403",n/a,1.3965,n/a,"$1,337.60",0.0001,$25.00,0.0076,$84.69,0.0022,201,#N/A
11/4/2010,$0.21,"29,698.43",,,,0.19310,0.23601,0.19340,0.23000,"$6,229.16","162,239",n/a,1.4038,n/a,"$1,383.10",0.0002,$25.38,0.0083,$86.49,0.0024,130,#N/A
11/5/2010,$0.24,"36,622.07",,,,0.23000,0.26390,0.21010,0.26000,"$8,757.15","56,243",n/a,1.4181,n/a,"$1,397.70",0.0002,$26.14,0.0092,$86.85,0.0028,182,#N/A
11/6/2010,$0.29,"32,756.13",,,,0.26000,0.50000,0.24020,0.39000,"$9,396.96","121,427",n/a,1.4146,n/a,"$1,397.70",0.0002,$26.14,0.0111,$86.85,0.0033,131,#N/A
11/7/2010,$0.36,"77,218.72",,,,0.39000,0.46999,0.28600,0.34000,"$27,937.74","124,630",n/a,1.4031,n/a,"$1,397.70",0.0003,$26.14,0.0138,$86.85,0.0041,142,#N/A
11/8/2010,$0.32,"118,203.83",,,,0.34000,0.37000,0.22610,0.24300,"$38,339.26","455,084",n/a,1.4031,n/a,"$1,403.20",0.0002,$26.72,0.0120,$87.06,0.0037,225,#N/A
11/9/2010,$0.27,"47,983.39",,,,0.24300,0.32300,0.19900,0.21000,"$12,808.30","121,502",n/a,1.3958,n/a,"$1,410.10",0.0002,$28.55,0.0095,$86.72,0.0031,315,#N/A
11/10/2010,$0.20,"30,387.03",,,,0.21000,0.24000,0.14000,0.24000,"$6,110.13","59,232",n/a,1.3885,n/a,"$1,399.30",0.0001,$27.53,0.0073,$87.81,0.0023,321,#N/A
11/11/2010,$0.22,"5,031.88",,,,0.24000,0.24000,0.21000,0.22310,"$1,111.55","59,839",n/a,1.3766,n/a,"$1,403.30",0.0002,$27.75,0.0079,$87.81,0.0025,197,#N/A
11/12/2010,$0.26,"40,720.39",,,,0.22310,0.29000,0.22300,0.26820,"$10,494.46","43,331",n/a,1.3739,n/a,"$1,365.50",0.0002,$26.79,0.0097,$84.88,0.0031,144,#N/A
11/13/2010,$0.29,"21,915.57",,,,0.26820,0.30000,0.26830,0.27600,"$6,351.58","53,430",n/a,1.3665,n/a,"$1,365.50",0.0002,$26.79,0.0108,$84.88,0.0034,144,#N/A
11/14/2010,$0.28,"16,844.33",,,,0.27600,0.29900,0.27020,0.27904,"$4,793.81","36,107",n/a,1.3691,n/a,"$1,365.50",0.0002,$26.79,0.0105,$84.88,0.0033,91,#N/A
11/15/2010,$0.27,"8,507.74",,,,0.27904,0.28280,0.26820,0.26820,"$2,337.50","173,010",n/a,1.3690,n/a,"$1,368.50",0.0002,$26.01,0.0104,$84.86,0.0032,184,#N/A
11/16/2010,$0.25,"33,931.01",,,,0.26820,0.27500,0.22300,0.22300,"$8,609.67","478,994",n/a,1.3655,n/a,"$1,338.40",0.0002,$25.48,0.0098,$82.34,0.0030,177,#N/A
11/17/2010,$0.26,"32,871.60",,,,0.22300,0.29000,0.21160,0.22990,"$8,662.61","86,941",n/a,1.3577,n/a,"$1,336.90",0.0002,$25.20,0.0103,$80.44,0.0032,149,#N/A
11/18/2010,$0.27,"37,446.67",,,,0.22990,0.28300,0.22210,0.26780,"$10,253.27","64,061",n/a,1.3506,n/a,"$1,353.00",0.0002,$26.57,0.0102,$81.85,0.0033,217,#N/A
